cluster_id	member_curie	identity_key_strict	molfile_key	molfile_path	raw_canonical_smiles	formula	formal_charge	rdkit_canonical_tautomer
1	CHEBI_80858	C=C1C[C@](OC)([C@H](O)C(=O)N[C@H]2OCO[C@H]3[C@@H]2OC(C[C@@H](CO)OC)C(C)(C)[C@@H]3OC)O[C@H](C)[C@@H]1C	CHEBI_80858	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_80858.sdf	[H][C@]12OC(C[C@@H](CO)OC)C(C)(C)[C@H](OC)[C@@]1([H])OCO[C@@H]2NC(=O)[C@@H](O)[C@@]1(OC)CC(=C)[C@@H](C)[C@@H](C)O1	C25H43NO10	0.0	[H][C@]12OC(C[C@@H](CO)OC)C(C)(C)[C@H](OC)[C@@]1([H])OCO[C@@H]2NC(=O)C(O)[C@@]1(OC)CC(=C)[C@@H](C)[C@@H](C)O1
2	CHEBI_17994	O=P(O)(O)OC[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O	CHEBI_17994	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_17994.sdf	O=P(O)(O)OC[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O	C5H12O11P2	0.0	O=P(O)(O)OC[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O
3	CHEBI_68819	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O	CHEBI_68819	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_68819.sdf	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O	C5H12O11P2	0.0	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O
4	r15bp	O=P([O-])([O-])OCC1OC(OP(=O)([O-])[O-])C(O)C1O	R15BP					
5	CHEBI_58345	O=P([O-])([O-])OC[C@H]1OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	CHEBI_58345	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_58345.sdf	O=P([O-])([O-])OC[C@H]1OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	C5H8O11P2-4	-4.0	O=P([O-])([O-])OC[C@H]1OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
6	CHEBI_68688	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	CHEBI_68688	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_68688.sdf	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	C5H8O11P2-4	-4.0	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
7	CHEBI_220580	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(O)cc46)CO[C@@H](C)[C@H]5O)c2c1)[C@H](O)[C@H](C)OC3	CHEBI_220580	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_220580.sdf	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(O)cc46)CO[C@@H](C)[C@H]5O)c2c1)[C@H](O)[C@H](C)OC3	C31H32O10	0.0	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(O)cc46)CO[C@@H](C)[C@H]5O)c2c1)[C@H](O)[C@H](C)OC3
8	CHEBI_124608	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@@H]1CN(C)C(=O)Nc1ccc(F)cc1	CHEBI_124608	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_124608.sdf	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@@H]1CN(C)C(=O)Nc1ccc(F)cc1	C27H33FN4O5	0.0	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@@H]1CN(C)C(=O)Nc1ccc(F)cc1
9	CHEBI_124583	C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@H]1CN(C)C(=O)Nc1ccc(F)cc1	CHEBI_124583	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_124583.sdf	C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@H]1CN(C)C(=O)Nc1ccc(F)cc1	C27H33FN4O5	0.0	C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@H]1CN(C)C(=O)Nc1ccc(F)cc1
10	CHEBI_124427	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2c(NC(=O)C3CC3)cccc2C1=O	CHEBI_124427	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_124427.sdf	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2c(NC(=O)C3CC3)cccc2C1=O	C27H33FN4O5	0.0	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2c(NC(=O)C3CC3)cccc2C1=O
11	CHEBI_179970	CCCCCCCCCCCCCCCOC(C)=O	CHEBI_179970	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_179970.sdf	CCCCCCCCCCCCCCCOC(C)=O	C17H34O2	0.0	CCCCCCCCCCCCCCCOC(C)=O
