record_id,relationship_label,classification_term_id,relative_path,sha256,source,source_doi,license,notes
DIA-001,Diastereomers,SMRO:0006,examples/diastereomer_files/diastereomer1.mol,d7826df2666b25722f78942d679436b2e4c0a4f3a1c5e50fdb0c27f6aa64bc02,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Positive-control diastereomer pair curated for regression tests."
DIA-002,Diastereomers,SMRO:0006,examples/diastereomer_files/diastereomer2.mol,9a83180200eaea06f232762ca0f7a6006c0ace6e128ac1aca3dde05b6207dc1a,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Positive-control diastereomer pair curated for regression tests."
ENA-001,Enantiomers,SMRO:0005,examples/enantiomer_files/enantiomer1.mol,2ad2baeedb0e9940cf48725ac8da626a2ca22d20a9122c7a93140fdae553e36a,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Mirror-image pair derived from curated metabolite controls."
ENA-002,Enantiomers,SMRO:0005,examples/enantiomer_files/enantiomer2.mol,3eb68fc55a6fc18a5741a763bee5c95cfa1de330450ad91363046ec2e0f7ff8f,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Mirror-image pair derived from curated metabolite controls."
ENA-003,Enantiomers,SMRO:0005,examples/enantiomer_files/enantiomer3.mol,7cf1961a1583e1353cd675a1d75bea74beb205967daf51fbeff7a0c00d7a8994,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Mirror-image pair derived from curated metabolite controls."
ENA-004,Enantiomers,SMRO:0005,examples/enantiomer_files/enantiomer4.mol,d52dffd935867eb05fafa25b8d3c5db61d8050111e78a966fbccb0f228ccbd74,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Mirror-image pair derived from curated metabolite controls."
EQV-001,Identical structures,SMRO:0001,examples/equivalent_files/equiv1.mol,b79e6c48984545bf98da4b85b5c8450cb696514246ef64906d7a8acb53ac03fc,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Reference identical structure used to verify clustering."
EQV-002,Identical structures,SMRO:0001,examples/equivalent_files/equiv2.mol,d30aca7ba9d383dbc50232812d99878487fe9bb94936288e48b3d12ae1a0c839,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Reference identical structure used to verify clustering."
PRO-001,Protomers,SMRO:0003,examples/protomer_files/protomer1.mol,0aef8a205c37e0feb82c6d456bbceca28aac643444753eff65152f048d11a391,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Conjugate acid/base example for protomer scoring."
PRO-002,Protomers,SMRO:0003,examples/protomer_files/protomer2.mol,c8816909d36c2b998c20b6b78fd8efb4562f7779acafd10f214d9cb7f1766155,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Conjugate acid/base example for protomer scoring."
SRP-001,Stereo-resolution pairs,SMRO:0007,examples/stereo_resolution_files/stereo_res1.mol,44d87b35a054a7825789c2422e7d852c551291085dbc0b5605dc89bb4465524e,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Planar vs resolved structure pair used to test planar/stereo logic."
SRP-002,Stereo-resolution pairs,SMRO:0007,examples/stereo_resolution_files/stereo_res2.mol,61d001bb091d199aebedd4662e7d12a826fb4c66b89facba1b3563444efc6468,StereoMapper maintainers,10.5281/zenodo.19251670,CC-BY-4.0,"Planar vs resolved structure pair used to test planar/stereo logic."
