cluster_index,cluster_members,cluster_size,present_members,unmapped_members,mnx_ids_hit,distinct_mnx_ids,n_distinct_mnx_ids,member_to_mnx,classification,jaccard_cluster_vs_mnx
149,"['chebi:180695', 'keggD:D03115']",2,"['chebi:180695', 'keggD:D03115']",[],"['https://rdf.metanetx.org/chem/MNXM125623', 'https://rdf.metanetx.org/chem/MNXM1564150']","['https://rdf.metanetx.org/chem/MNXM125623', 'https://rdf.metanetx.org/chem/MNXM1564150']",2,"{'chebi:180695': 'https://rdf.metanetx.org/chem/MNXM1564150', 'keggD:D03115': 'https://rdf.metanetx.org/chem/MNXM125623'}",mnx_id_disagreement,0.0
1417,"['chebi:177632', 'sabiorkM:5034']",2,"['chebi:177632', 'sabiorkM:5034']",[],"['https://rdf.metanetx.org/chem/MNXM1129824', 'https://rdf.metanetx.org/chem/MNXM736788']","['https://rdf.metanetx.org/chem/MNXM1129824', 'https://rdf.metanetx.org/chem/MNXM736788']",2,"{'chebi:177632': 'https://rdf.metanetx.org/chem/MNXM1129824', 'sabiorkM:5034': 'https://rdf.metanetx.org/chem/MNXM736788'}",mnx_id_disagreement,0.0
1610,"['chebi:71294', 'hmdb:HMDB0304130', 'vmhM:3h3phepropcoa', 'seedM:cpd12862']",4,"['chebi:71294', 'hmdb:HMDB0304130', 'seedM:cpd12862']",['vmhM:3h3phepropcoa'],"['https://rdf.metanetx.org/chem/MNXM1363451', 'https://rdf.metanetx.org/chem/MNXM1363452']","['https://rdf.metanetx.org/chem/MNXM1363451', 'https://rdf.metanetx.org/chem/MNXM1363452']",2,"{'chebi:71294': 'https://rdf.metanetx.org/chem/MNXM1363451', 'hmdb:HMDB0304130': 'https://rdf.metanetx.org/chem/MNXM1363451', 'seedM:cpd12862': 'https://rdf.metanetx.org/chem/MNXM1363452'}",mnx_id_disagreement,0.0
1761,"['hmdb:HMDB0062708', 'sabiorkM:1892']",2,"['hmdb:HMDB0062708', 'sabiorkM:1892']",[],"['https://rdf.metanetx.org/chem/MNXM1104518', 'https://rdf.metanetx.org/chem/MNXM736424']","['https://rdf.metanetx.org/chem/MNXM1104518', 'https://rdf.metanetx.org/chem/MNXM736424']",2,"{'hmdb:HMDB0062708': 'https://rdf.metanetx.org/chem/MNXM736424', 'sabiorkM:1892': 'https://rdf.metanetx.org/chem/MNXM1104518'}",mnx_id_disagreement,0.0
2326,"['chebi:44976', 'keggC:C06701', 'sabiorkM:2905']",3,"['chebi:44976', 'keggC:C06701', 'sabiorkM:2905']",[],"['https://rdf.metanetx.org/chem/MNXM1094019', 'https://rdf.metanetx.org/chem/MNXM731419']","['https://rdf.metanetx.org/chem/MNXM1094019', 'https://rdf.metanetx.org/chem/MNXM731419']",2,"{'chebi:44976': 'https://rdf.metanetx.org/chem/MNXM1094019', 'keggC:C06701': 'https://rdf.metanetx.org/chem/MNXM1094019', 'sabiorkM:2905': 'https://rdf.metanetx.org/chem/MNXM731419'}",mnx_id_disagreement,0.0
2739,"['chebi:16374', 'seedM:cpd26114']",2,"['chebi:16374', 'seedM:cpd26114']",[],"['https://rdf.metanetx.org/chem/MNXM166', 'https://rdf.metanetx.org/chem/MNXM480569']","['https://rdf.metanetx.org/chem/MNXM166', 'https://rdf.metanetx.org/chem/MNXM480569']",2,"{'chebi:16374': 'https://rdf.metanetx.org/chem/MNXM166', 'seedM:cpd26114': 'https://rdf.metanetx.org/chem/MNXM480569'}",mnx_id_disagreement,0.0
3036,"['chebi:28770', 'keggC:C06350', 'sabiorkM:6389']",3,"['chebi:28770', 'keggC:C06350', 'sabiorkM:6389']",[],"['https://rdf.metanetx.org/chem/MNXM1364803', 'https://rdf.metanetx.org/chem/MNXM1364804']","['https://rdf.metanetx.org/chem/MNXM1364803', 'https://rdf.metanetx.org/chem/MNXM1364804']",2,"{'chebi:28770': 'https://rdf.metanetx.org/chem/MNXM1364804', 'keggC:C06350': 'https://rdf.metanetx.org/chem/MNXM1364804', 'sabiorkM:6389': 'https://rdf.metanetx.org/chem/MNXM1364803'}",mnx_id_disagreement,0.0
3448,"['chebi:81686', 'keggC:C18340', 'seedM:cpd19605']",3,"['chebi:81686', 'keggC:C18340', 'seedM:cpd19605']",[],"['https://rdf.metanetx.org/chem/MNXM1584163', 'https://rdf.metanetx.org/chem/MNXM1584164']","['https://rdf.metanetx.org/chem/MNXM1584163', 'https://rdf.metanetx.org/chem/MNXM1584164']",2,"{'chebi:81686': 'https://rdf.metanetx.org/chem/MNXM1584163', 'keggC:C18340': 'https://rdf.metanetx.org/chem/MNXM1584163', 'seedM:cpd19605': 'https://rdf.metanetx.org/chem/MNXM1584164'}",mnx_id_disagreement,0.0
3451,"['vmhM:HC02113', 'sabiorkM:1262']",2,"['sabiorkM:1262', 'vmhM:HC02113']",[],"['https://rdf.metanetx.org/chem/MNXM1581369', 'https://rdf.metanetx.org/chem/MNXM738702']","['https://rdf.metanetx.org/chem/MNXM1581369', 'https://rdf.metanetx.org/chem/MNXM738702']",2,"{'sabiorkM:1262': 'https://rdf.metanetx.org/chem/MNXM738702', 'vmhM:HC02113': 'https://rdf.metanetx.org/chem/MNXM1581369'}",mnx_id_disagreement,0.0
3869,"['chebi:230104', 'hmdb:HMDB0292348']",2,"['chebi:230104', 'hmdb:HMDB0292348']",[],"['https://rdf.metanetx.org/chem/MNXM1410809', 'https://rdf.metanetx.org/chem/MNXM1545514']","['https://rdf.metanetx.org/chem/MNXM1410809', 'https://rdf.metanetx.org/chem/MNXM1545514']",2,"{'chebi:230104': 'https://rdf.metanetx.org/chem/MNXM1410809', 'hmdb:HMDB0292348': 'https://rdf.metanetx.org/chem/MNXM1545514'}",mnx_id_disagreement,0.0
