id1,id2,label
CHEBI_122389,CHEBI_122317,Diastereomers
CHEBI_216464,CHEBI_215732,Diastereomers
CHEBI_120133,CHEBI_120171,Diastereomers
CHEBI_96557,CHEBI_96022,Diastereomers
CHEBI_112617,CHEBI_112586,Diastereomers
CHEBI_100582,CHEBI_101857,Diastereomers
CHEBI_106726,CHEBI_102786,Diastereomers
CHEBI_151080,CHEBI_152287,Diastereomers
CHEBI_126014,CHEBI_130335,Diastereomers
CHEBI_214237,CHEBI_199102,Diastereomers
CHEBI_75796,CHEBI_75797,Diastereomers
CHEBI_95659,CHEBI_96178,Diastereomers
CHEBI_28497,CHEBI_63154,Diastereomers
CHEBI_96263,CHEBI_96578,Diastereomers
CHEBI_101553,CHEBI_102573,Diastereomers
CHEBI_65450,CHEBI_65451,Diastereomers
CHEBI_102766,CHEBI_102648,Diastereomers
CHEBI_67643,CHEBI_67642,Diastereomers
CHEBI_111769,CHEBI_124272,Diastereomers
CHEBI_120291,CHEBI_120185,Diastereomers
CHEBI_100134,CHEBI_102493,Diastereomers
CHEBI_98259,CHEBI_98933,Diastereomers
CHEBI_67413,CHEBI_67415,Diastereomers
CHEBI_69761,CHEBI_69762,Diastereomers
CHEBI_117850,CHEBI_104739,Diastereomers
CHEBI_49089,CHEBI_28645,Diastereomers
CHEBI_39115,CHEBI_39122,Diastereomers
CHEBI_119288,CHEBI_119190,Diastereomers
CHEBI_226980,CHEBI_208732,Diastereomers
CHEBI_96063,CHEBI_96077,Diastereomers
CHEBI_113375,CHEBI_96931,Diastereomers
CHEBI_99843,CHEBI_99176,Diastereomers
CHEBI_102559,CHEBI_98921,Diastereomers
CHEBI_119360,CHEBI_119308,Diastereomers
CHEBI_154404,CHEBI_156500,Diastereomers
CHEBI_129504,CHEBI_129406,Diastereomers
CHEBI_122624,CHEBI_122803,Diastereomers
CHEBI_224128,CHEBI_204289,Diastereomers
CHEBI_65926,CHEBI_65925,Diastereomers
CHEBI_102165,CHEBI_99011,Diastereomers
CHEBI_99801,CHEBI_97593,Diastereomers
CHEBI_130177,CHEBI_126178,Diastereomers
CHEBI_217755,CHEBI_217762,Diastereomers
CHEBI_128689,CHEBI_127420,Diastereomers
CHEBI_98338,CHEBI_101004,Diastereomers
CHEBI_120251,CHEBI_120333,Diastereomers
CHEBI_95653,CHEBI_96183,Diastereomers
CHEBI_99121,CHEBI_100289,Diastereomers
CHEBI_147656,CHEBI_152604,Diastereomers
CHEBI_183806,CHEBI_81467,Diastereomers
CHEBI_118721,CHEBI_118661,Diastereomers
CHEBI_128319,CHEBI_130426,Diastereomers
CHEBI_200501,CHEBI_226155,Diastereomers
CHEBI_111557,CHEBI_108815,Diastereomers
CHEBI_210237,CHEBI_216909,Diastereomers
CHEBI_113285,CHEBI_96503,Diastereomers
CHEBI_126759,CHEBI_125890,Diastereomers
CHEBI_21338,CHEBI_33817,Diastereomers
CHEBI_100254,CHEBI_103132,Diastereomers
CHEBI_185976,CHEBI_169744,Diastereomers
CHEBI_99568,CHEBI_110940,Diastereomers
CHEBI_223701,CHEBI_200430,Diastereomers
CHEBI_213735,CHEBI_214291,Diastereomers
CHEBI_117528,CHEBI_117556,Diastereomers
CHEBI_1730,CHEBI_74422,Diastereomers
CHEBI_111754,CHEBI_111734,Diastereomers
CHEBI_128015,CHEBI_131011,Diastereomers
CHEBI_95511,CHEBI_95628,Diastereomers
CHEBI_101793,CHEBI_99694,Diastereomers
CHEBI_150588,CHEBI_151449,Diastereomers
CHEBI_119434,CHEBI_119338,Diastereomers
CHEBI_108803,CHEBI_108755,Diastereomers
CHEBI_104662,CHEBI_123907,Diastereomers
CHEBI_110801,CHEBI_110571,Diastereomers
CHEBI_129686,CHEBI_129852,Diastereomers
CHEBI_131888,CHEBI_15551,Diastereomers
CHEBI_124704,CHEBI_103735,Diastereomers
CHEBI_118068,CHEBI_117965,Diastereomers
CHEBI_95464,CHEBI_98820,Diastereomers
CHEBI_178549,CHEBI_178550,Diastereomers
CHEBI_111916,CHEBI_112060,Diastereomers
CHEBI_101516,CHEBI_102259,Diastereomers
CHEBI_138949,CHEBI_138947,Diastereomers
CHEBI_120093,CHEBI_120206,Diastereomers
CHEBI_42905,CHEBI_37680,Diastereomers
CHEBI_148907,CHEBI_146054,Diastereomers
CHEBI_106673,CHEBI_106456,Diastereomers
CHEBI_126393,CHEBI_127518,Diastereomers
CHEBI_131280,CHEBI_116019,Diastereomers
CHEBI_108825,CHEBI_124541,Diastereomers
CHEBI_217977,CHEBI_198590,Diastereomers
CHEBI_213661,CHEBI_213651,Diastereomers
CHEBI_127898,CHEBI_127794,Diastereomers
CHEBI_122369,CHEBI_122401,Diastereomers
CHEBI_197144,CHEBI_197090,Diastereomers
CHEBI_110750,CHEBI_110711,Diastereomers
CHEBI_102028,CHEBI_102496,Diastereomers
CHEBI_124610,CHEBI_124308,Diastereomers
CHEBI_124223,CHEBI_111480,Diastereomers
CHEBI_170131,CHEBI_177699,Diastereomers
CHEBI_99681,CHEBI_102442,Diastereomers
CHEBI_119666,CHEBI_119485,Diastereomers
CHEBI_199007,CHEBI_205800,Diastereomers
CHEBI_100078,CHEBI_101698,Diastereomers
CHEBI_62269,CHEBI_62084,Diastereomers
CHEBI_118145,CHEBI_118149,Diastereomers
CHEBI_203997,CHEBI_223898,Diastereomers
CHEBI_99489,CHEBI_102541,Diastereomers
CHEBI_104860,CHEBI_123845,Diastereomers
CHEBI_95935,CHEBI_95736,Diastereomers
CHEBI_108854,CHEBI_113842,Diastereomers
CHEBI_129074,CHEBI_130364,Diastereomers
CHEBI_126763,CHEBI_128663,Diastereomers
CHEBI_127073,CHEBI_130425,Diastereomers
CHEBI_106555,CHEBI_106414,Diastereomers
CHEBI_100522,CHEBI_97419,Diastereomers
CHEBI_128819,CHEBI_126284,Diastereomers
CHEBI_97668,CHEBI_97064,Diastereomers
CHEBI_99636,CHEBI_103179,Diastereomers
CHEBI_122321,CHEBI_122441,Diastereomers
CHEBI_174910,CHEBI_174914,Diastereomers
CHEBI_146919,CHEBI_149114,Diastereomers
CHEBI_99367,CHEBI_101622,Diastereomers
CHEBI_110677,CHEBI_110828,Diastereomers
CHEBI_117417,CHEBI_117293,Diastereomers
CHEBI_124159,CHEBI_124116,Diastereomers
CHEBI_95715,CHEBI_96464,Diastereomers
CHEBI_202028,CHEBI_210636,Diastereomers
CHEBI_96407,CHEBI_96689,Diastereomers
CHEBI_103222,CHEBI_97339,Diastereomers
CHEBI_119616,CHEBI_131294,Diastereomers
CHEBI_26797,CHEBI_51011,Diastereomers
CHEBI_97566,CHEBI_102427,Diastereomers
CHEBI_196168,CHEBI_196169,Diastereomers
CHEBI_108636,CHEBI_113699,Diastereomers
CHEBI_102021,CHEBI_98866,Diastereomers
CHEBI_111970,CHEBI_112073,Diastereomers
CHEBI_71556,CHEBI_71614,Diastereomers
CHEBI_111601,CHEBI_124236,Diastereomers
CHEBI_98124,CHEBI_99997,Diastereomers
CHEBI_138112,CHEBI_138121,Diastereomers
CHEBI_69047,CHEBI_67710,Diastereomers
CHEBI_118580,CHEBI_118752,Diastereomers
CHEBI_70670,CHEBI_70671,Diastereomers
CHEBI_148047,CHEBI_151854,Diastereomers
CHEBI_97865,CHEBI_98652,Diastereomers
CHEBI_127318,CHEBI_129565,Diastereomers
CHEBI_94619,CHEBI_92652,Diastereomers
CHEBI_115177,CHEBI_115131,Diastereomers
CHEBI_127448,CHEBI_129688,Diastereomers
CHEBI_101077,CHEBI_99357,Diastereomers
CHEBI_63446,CHEBI_138041,Diastereomers
CHEBI_98978,CHEBI_102404,Diastereomers
CHEBI_128797,CHEBI_127018,Diastereomers
CHEBI_111674,CHEBI_113823,Diastereomers
CHEBI_71613,CHEBI_71560,Diastereomers
CHEBI_115394,CHEBI_115263,Diastereomers
CHEBI_182111,CHEBI_182129,Diastereomers
CHEBI_97270,CHEBI_100216,Diastereomers
CHEBI_199614,CHEBI_197905,Diastereomers
CHEBI_220735,CHEBI_207954,Diastereomers
CHEBI_123484,CHEBI_123475,Diastereomers
CHEBI_126632,CHEBI_126566,Diastereomers
CHEBI_95738,CHEBI_96707,Diastereomers
CHEBI_214708,CHEBI_214702,Diastereomers
CHEBI_138224,CHEBI_138234,Diastereomers
CHEBI_179338,CHEBI_179344,Diastereomers
CHEBI_38361,CHEBI_38359,Diastereomers
CHEBI_129867,CHEBI_129101,Diastereomers
CHEBI_118864,CHEBI_119101,Diastereomers
CHEBI_124707,CHEBI_124655,Diastereomers
CHEBI_129019,CHEBI_127813,Diastereomers
CHEBI_172992,CHEBI_172999,Diastereomers
