id1,id2,label
CHEBI_43796,CHEBI_30314,Enantiomers
CHEBI_30314,CHEBI_43796,Enantiomers
CHEBI_15570,CHEBI_16977,Enantiomers
CHEBI_16977,CHEBI_15570,Enantiomers
CHEBI_32433,CHEBI_32437,Enantiomers
CHEBI_32437,CHEBI_32433,Enantiomers
CHEBI_32447,CHEBI_32452,Enantiomers
CHEBI_32452,CHEBI_32447,Enantiomers
CHEBI_17561,CHEBI_16375,Enantiomers
CHEBI_16375,CHEBI_17561,Enantiomers
CHEBI_17053,CHEBI_17364,Enantiomers
CHEBI_17364,CHEBI_17053,Enantiomers
CHEBI_29990,CHEBI_29991,Enantiomers
CHEBI_29991,CHEBI_29990,Enantiomers
CHEBI_16015,CHEBI_15966,Enantiomers
CHEBI_15966,CHEBI_16015,Enantiomers
CHEBI_16998,CHEBI_17295,Enantiomers
CHEBI_17295,CHEBI_16998,Enantiomers
CHEBI_15971,CHEBI_27947,Enantiomers
CHEBI_27947,CHEBI_15971,Enantiomers
CHEBI_17191,CHEBI_27730,Enantiomers
CHEBI_27730,CHEBI_17191,Enantiomers
CHEBI_18019,CHEBI_16855,Enantiomers
CHEBI_16855,CHEBI_18019,Enantiomers
CHEBI_15603,CHEBI_28225,Enantiomers
CHEBI_28225,CHEBI_15603,Enantiomers
CHEBI_16643,CHEBI_16867,Enantiomers
CHEBI_16867,CHEBI_16643,Enantiomers
CHEBI_28159,CHEBI_17196,Enantiomers
CHEBI_17196,CHEBI_28159,Enantiomers
CHEBI_16313,CHEBI_17203,Enantiomers
CHEBI_17203,CHEBI_16313,Enantiomers
CHEBI_17061,CHEBI_18050,Enantiomers
CHEBI_18050,CHEBI_17061,Enantiomers
CHEBI_16467,CHEBI_15816,Enantiomers
CHEBI_15816,CHEBI_16467,Enantiomers
CHEBI_17115,CHEBI_16523,Enantiomers
CHEBI_16523,CHEBI_17115,Enantiomers
CHEBI_16398,CHEBI_16857,Enantiomers
CHEBI_16857,CHEBI_16398,Enantiomers
CHEBI_16633,CHEBI_30001,Enantiomers
CHEBI_30001,CHEBI_16633,Enantiomers
CHEBI_16414,CHEBI_27477,Enantiomers
CHEBI_27477,CHEBI_16414,Enantiomers
CHEBI_16828,CHEBI_16296,Enantiomers
CHEBI_16296,CHEBI_16828,Enantiomers
CHEBI_28479,CHEBI_17895,Enantiomers
CHEBI_17895,CHEBI_28479,Enantiomers
CHEBI_32738,CHEBI_32736,Enantiomers
CHEBI_32736,CHEBI_32738,Enantiomers
CHEBI_32712,CHEBI_32723,Enantiomers
CHEBI_32723,CHEBI_32712,Enantiomers
CHEBI_32777,CHEBI_32759,Enantiomers
CHEBI_32759,CHEBI_32777,Enantiomers
