id_left,id_right,pairkey
CHEBI_23123,CHEBI_27869,CHEBI_23123__CHEBI_27869
CHEBI_28240,CHEBI_36386,CHEBI_28240__CHEBI_36386
CHEBI_27455,CHEBI_30956,CHEBI_27455__CHEBI_30956
CHEBI_28995,CHEBI_30748,CHEBI_28995__CHEBI_30748
CHEBI_19984,CHEBI_49410,CHEBI_19984__CHEBI_49410
CHEBI_17861,CHEBI_30747,CHEBI_17861__CHEBI_30747
CHEBI_32819,CHEBI_15885,CHEBI_15885__CHEBI_32819
CHEBI_23715,CHEBI_23716,CHEBI_23715__CHEBI_23716
CHEBI_18172,CHEBI_30775,CHEBI_18172__CHEBI_30775
CHEBI_27110,CHEBI_45892,CHEBI_27110__CHEBI_45892
CHEBI_18021,CHEBI_44897,CHEBI_18021__CHEBI_44897
CHEBI_29195,CHEBI_28024,CHEBI_28024__CHEBI_29195
CHEBI_18022,CHEBI_29200,CHEBI_18022__CHEBI_29200
CHEBI_29990,CHEBI_17364,CHEBI_17364__CHEBI_29990
CHEBI_29986,CHEBI_15966,CHEBI_15966__CHEBI_29986
CHEBI_16953,CHEBI_21547,CHEBI_16953__CHEBI_21547
CHEBI_21549,CHEBI_17533,CHEBI_17533__CHEBI_21549
CHEBI_30407,CHEBI_15836,CHEBI_15836__CHEBI_30407
CHEBI_33196,CHEBI_17576,CHEBI_17576__CHEBI_33196
CHEBI_32813,CHEBI_17072,CHEBI_17072__CHEBI_32813
CHEBI_18387,CHEBI_48427,CHEBI_18387__CHEBI_48427
CHEBI_16923,CHEBI_48429,CHEBI_16923__CHEBI_48429
CHEBI_29083,CHEBI_16440,CHEBI_16440__CHEBI_29083
CHEBI_17684,CHEBI_48309,CHEBI_17684__CHEBI_48309
CHEBI_24785,CHEBI_24786,CHEBI_24785__CHEBI_24786
CHEBI_18034,CHEBI_30907,CHEBI_18034__CHEBI_30907
CHEBI_21100,CHEBI_21101,CHEBI_21100__CHEBI_21101
CHEBI_17479,CHEBI_28394,CHEBI_17479__CHEBI_28394
CHEBI_16452,CHEBI_30744,CHEBI_16452__CHEBI_30744
CHEBI_36986,CHEBI_16600,CHEBI_16600__CHEBI_36986
CHEBI_16782,CHEBI_32797,CHEBI_16782__CHEBI_32797
