mnxparent_label,parent_label,mnxchild_label,child_label
MNXM100051,chebi:187719,MNXM100344,chebi:188242
MNXM10010,chebi:28254,MNXM1380605,chebi:198196
MNXM10026,chebi:86041,MNXM1104681,chebi:62616
MNXM10026,chebi:86041,MNXM9497,chebi:74272
MNXM10039,chebi:50168,MNXM36497,chebi:50170
MNXM10039,chebi:50168,MNXM36498,chebi:50171
MNXM100443,chebi:165732,MNXM1128795,chebi:167602
MNXM100443,chebi:165732,MNXM1128796,chebi:167603
MNXM101118,chebi:74115,MNXM174121,chebi:138654
MNXM101226,chebi:70704,MNXM100715,chebi:70689
MNXM101226,chebi:70704,MNXM100819,chebi:70688
MNXM101359,chebi:179209,MNXM101381,chebi:179219
MNXM101359,chebi:179209,MNXM101389,chebi:179218
MNXM10153,chebi:234325,MNXM1413138,chebi:234008
MNXM101610,chebi:64777,MNXM104216,chebi:64774
MNXM101610,chebi:64777,MNXM105983,chebi:64773
MNXM101628,chebi:165778,MNXM34265,chebi:76150
MNXM101809,chebi:68527,MNXM97137,chebi:67158
MNXM101809,chebi:68527,MNXM97156,chebi:68506
MNXM101972,chebi:70772,MNXM101968,chebi:40072
MNXM102039,chebi:71255,MNXM149699,chebi:71251
MNXM102039,chebi:71255,MNXM149843,chebi:71252
MNXM102108,chebi:64814,MNXM741765,chebi:64786
MNXM102108,chebi:64814,MNXM741766,chebi:64787
MNXM102582,chebi:65192,MNXM1118800,chebi:155160
MNXM102582,chebi:65192,MNXM1119659,chebi:156722
MNXM10277,chebi:193504,MNXM37803,chebi:172549
MNXM102886,chebi:8711,MNXM31676,chebi:49845
MNXM102886,chebi:8711,MNXM31877,chebi:37597
MNXM103020,chebi:94380,MNXM149581,chebi:78388
MNXM103020,chebi:94380,MNXM149721,chebi:78389
MNXM103076,chebi:68586,MNXM103075,chebi:68587
MNXM103076,chebi:68586,MNXM43904,chebi:62185
MNXM103153,chebi:71359,MNXM1118998,chebi:155433
MNXM103153,chebi:71359,MNXM1119957,chebi:157073
MNXM103713,chebi:68933,MNXM153394,chebi:76573
MNXM103713,chebi:68933,MNXM153395,chebi:76574
MNXM103713,chebi:68933,MNXM153396,chebi:76588
MNXM103713,chebi:68933,MNXM153397,chebi:76589
MNXM104010,chebi:67218,MNXM100766,chebi:67224
MNXM104010,chebi:67218,MNXM100888,chebi:67226
MNXM104010,chebi:67218,MNXM104011,chebi:67221
MNXM104014,chebi:67235,MNXM101291,chebi:67234
MNXM104014,chebi:67235,MNXM47578,chebi:67233
MNXM104163,chebi:65048,MNXM104162,chebi:65063
MNXM104685,chebi:53289,MNXM1094857,chebi:53290
MNXM104685,chebi:53289,MNXM31630,chebi:53292
MNXM104860,chebi:77070,MNXM149613,chebi:77071
MNXM104860,chebi:77070,MNXM149752,chebi:77072
MNXM105743,chebi:185310,MNXM738384,chebi:53004
MNXM105841,chebi:165774,MNXM102287,chebi:179238
MNXM106402,chebi:70162,MNXM106401,chebi:67320
MNXM106402,chebi:70162,MNXM106403,chebi:67321
MNXM106410,chebi:66659,MNXM149636,chebi:73099
