chebi_id,hmdb_id
CHEBI:10002,HMDB0259840
CHEBI:100147,HMDB0014917
CHEBI:10022,HMDB0036156
CHEBI:10023,HMDB0014720
CHEBI:100241,HMDB0014677
CHEBI:100246,HMDB0015192
CHEBI:10025,HMDB0304684
CHEBI:10029,HMDB0259896
CHEBI:10037,HMDB0259891
CHEBI:100417,HMDB0012488
CHEBI:10049,HMDB0000293
CHEBI:10056,HMDB0259915
CHEBI:10057,HMDB0029923
CHEBI:10072,HMDB0000881
CHEBI:100922,HMDB0257525
CHEBI:10093,HMDB0015464
CHEBI:10100,HMDB0014689
CHEBI:101009,HMDB0015508
CHEBI:10101,HMDB0015078
CHEBI:10102,HMDB0015097
CHEBI:101085,HMDB0015275
CHEBI:101096,HMDB0014456
CHEBI:10110,HMDB0014638
CHEBI:10112,HMDB0014882
CHEBI:10119,HMDB0014391
CHEBI:101202,HMDB0014767
CHEBI:10124,HMDB0014460
CHEBI:10125,HMDB0005023
CHEBI:10127,HMDB0015045
CHEBI:101278,HMDB0014487
CHEBI:101355,HMDB0253560
CHEBI:10136,HMDB0005783
CHEBI:101369,HMDB0015380
CHEBI:1015,HMDB0304940
CHEBI:10150,HMDB0037658
CHEBI:101853,HMDB0015286
CHEBI:101967,HMDB0015438
CHEBI:102130,HMDB0015521
CHEBI:10216,HMDB0059695
CHEBI:102166,HMDB0014737
CHEBI:102167,HMDB0258688
CHEBI:10217,HMDB0303103
CHEBI:10221,HMDB0061851
CHEBI:102216,HMDB0014617
CHEBI:102218,HMDB0251540
CHEBI:10223,HMDB0002268
CHEBI:10224,HMDB0036413
CHEBI:10225,HMDB0061838
CHEBI:102265,HMDB0015522
CHEBI:102408,HMDB0014606
CHEBI:102484,HMDB0014408
CHEBI:102485,HMDB0060774
CHEBI:102516,HMDB0258575
CHEBI:102524,HMDB0014386
CHEBI:102630,HMDB0029393
CHEBI:10274,HMDB0034964
CHEBI:10280,HMDB0036065
CHEBI:10284,HMDB0035631
CHEBI:10295,HMDB0001266
CHEBI:103183,HMDB0005035
CHEBI:10319,HMDB0012138
CHEBI:103210,HMDB0253140
CHEBI:10332,HMDB0038215
CHEBI:10334,HMDB0036995
CHEBI:10335,HMDB0245378
CHEBI:10357,HMDB0036792
CHEBI:10360,HMDB0035093
CHEBI:10362,HMDB0033844
CHEBI:10363,HMDB0061853
CHEBI:103729,HMDB0030768
CHEBI:103836,HMDB0246956
CHEBI:103854,HMDB0247729
CHEBI:103977,HMDB0247631
CHEBI:103981,HMDB0244925
CHEBI:103982,HMDB0249512
CHEBI:104011,HMDB0001867
CHEBI:104019,HMDB0253773
CHEBI:104023,HMDB0258454
CHEBI:104045,HMDB0244964
CHEBI:104120,HMDB0246945
CHEBI:104121,HMDB0006978
CHEBI:104131,HMDB0259889
CHEBI:10418,HMDB0062763
CHEBI:10418,HMDB0035913
CHEBI:104234,HMDB0251444
CHEBI:10429,HMDB0249138
CHEBI:10432,HMDB0012322
CHEBI:10441,HMDB0036716
CHEBI:10443,HMDB0034997
CHEBI:10444,HMDB0035643
CHEBI:10447,HMDB0035213
CHEBI:104586,HMDB0056387
CHEBI:104872,HMDB0257294
CHEBI:10565,HMDB0060478
CHEBI:10577,HMDB0005806
