id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_192022,CHEBI_29561,CHEBI_192022_CHEBI_29561,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_136841,CHEBI_137678,CHEBI_136841_CHEBI_137678,Protomers,Protomers,94.0
CHEBI_57252,CHEBI_10956,CHEBI_10956_CHEBI_57252,Protomers,Protomers,96.0
CHEBI_91833,CHEBI_7459,CHEBI_7459_CHEBI_91833,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_71346,CHEBI_71533,CHEBI_71346_CHEBI_71533,Protomers,Protomers,96.0
CHEBI_61611,CHEBI_154332,CHEBI_154332_CHEBI_61611,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_125535,CHEBI_94577,CHEBI_125535_CHEBI_94577,Diastereomers,Diastereomers,100.0
CHEBI_136658,CHEBI_136660,CHEBI_136658_CHEBI_136660,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_173279,CHEBI_147110,CHEBI_147110_CHEBI_173279,Stereo-resolution pairs,Stereo-resolution pairs,76.0
CHEBI_16998,CHEBI_17295,CHEBI_16998_CHEBI_17295,Enantiomers,Enantiomers,100.0
CHEBI_139037,CHEBI_139077,CHEBI_139037_CHEBI_139077,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_57483,CHEBI_15721,CHEBI_15721_CHEBI_57483,Protomers,Protomers,93.0
CHEBI_228793,CHEBI_73999,CHEBI_228793_CHEBI_73999,Stereo-resolution pairs,Stereo-resolution pairs,91.0
CHEBI_234377,CHEBI_32050,CHEBI_234377_CHEBI_32050,Protomers,Protomers,97.0
CHEBI_91316,CHEBI_91317,CHEBI_91316_CHEBI_91317,Enantiomers,Enantiomers,100.0
CHEBI_75862,CHEBI_76035,CHEBI_75862_CHEBI_76035,Diastereomers,Diastereomers,100.0
CHEBI_174569,CHEBI_50036,CHEBI_174569_CHEBI_50036,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_218679,CHEBI_218673,CHEBI_218673_CHEBI_218679,Diastereomers,Diastereomers,77.0
CHEBI_90704,CHEBI_90702,CHEBI_90702_CHEBI_90704,Protomers,Protomers,95.0
CHEBI_122224,CHEBI_122326,CHEBI_122224_CHEBI_122326,Diastereomers,Diastereomers,100.0
CHEBI_214863,CHEBI_226208,CHEBI_214863_CHEBI_226208,Diastereomers,Diastereomers,100.0
CHEBI_172329,CHEBI_180018,CHEBI_172329_CHEBI_180018,Diastereomers,Diastereomers,80.0
CHEBI_91530,CHEBI_182405,CHEBI_182405_CHEBI_91530,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_75366,CHEBI_75369,CHEBI_75366_CHEBI_75369,Protomers,Protomers,94.0
CHEBI_91918,CHEBI_34738,CHEBI_34738_CHEBI_91918,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_37448,CHEBI_16950,CHEBI_16950_CHEBI_37448,Protomers,Protomers,91.0
CHEBI_77712,CHEBI_18073,CHEBI_18073_CHEBI_77712,Protomers,Protomers,97.0
CHEBI_192774,CHEBI_125596,CHEBI_125596_CHEBI_192774,Protomers,Protomers,95.0
CHEBI_106575,CHEBI_106630,CHEBI_106575_CHEBI_106630,Diastereomers,Diastereomers,100.0
CHEBI_113930,CHEBI_114092,CHEBI_113930_CHEBI_114092,Diastereomers,Diastereomers,100.0
CHEBI_69289,CHEBI_69288,CHEBI_69288_CHEBI_69289,Diastereomers,Diastereomers,100.0
CHEBI_49263,CHEBI_49266,CHEBI_49263_CHEBI_49266,Enantiomers,Enantiomers,100.0
CHEBI_58726,CHEBI_47990,CHEBI_47990_CHEBI_58726,Protomers,Protomers,93.0
CHEBI_147906,CHEBI_16153,CHEBI_147906_CHEBI_16153,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_198846,CHEBI_216672,CHEBI_198846_CHEBI_216672,Diastereomers,Diastereomers,100.0
