id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_125535,CHEBI_94577,CHEBI_125535_CHEBI_94577,diastereomer,diastereomer,100.0,1
CHEBI_75862,CHEBI_76035,CHEBI_75862_CHEBI_76035,diastereomer,diastereomer,100.0,1
CHEBI_218679,CHEBI_218673,CHEBI_218673_CHEBI_218679,diastereomer,diastereomer,77.0,1
CHEBI_122224,CHEBI_122326,CHEBI_122224_CHEBI_122326,diastereomer,diastereomer,100.0,1
CHEBI_214863,CHEBI_226208,CHEBI_214863_CHEBI_226208,diastereomer,diastereomer,100.0,1
CHEBI_172329,CHEBI_180018,CHEBI_172329_CHEBI_180018,diastereomer,diastereomer,80.0,1
CHEBI_106575,CHEBI_106630,CHEBI_106575_CHEBI_106630,diastereomer,diastereomer,100.0,1
CHEBI_113930,CHEBI_114092,CHEBI_113930_CHEBI_114092,diastereomer,diastereomer,100.0,1
CHEBI_69289,CHEBI_69288,CHEBI_69288_CHEBI_69289,diastereomer,diastereomer,100.0,1
CHEBI_198846,CHEBI_216672,CHEBI_198846_CHEBI_216672,diastereomer,diastereomer,100.0,1
CHEBI_199007,CHEBI_205800,CHEBI_199007_CHEBI_205800,diastereomer,diastereomer,78.0,1
CHEBI_201299,CHEBI_198375,CHEBI_198375_CHEBI_201299,diastereomer,diastereomer,100.0,1
CHEBI_69950,CHEBI_69951,CHEBI_69950_CHEBI_69951,diastereomer,diastereomer,83.0,1
CHEBI_100694,CHEBI_102076,CHEBI_100694_CHEBI_102076,diastereomer,diastereomer,100.0,1
CHEBI_106673,CHEBI_106456,CHEBI_106456_CHEBI_106673,diastereomer,diastereomer,100.0,1
CHEBI_222346,CHEBI_207342,CHEBI_207342_CHEBI_222346,diastereomer,diastereomer,100.0,1
CHEBI_211559,CHEBI_200444,CHEBI_200444_CHEBI_211559,diastereomer,diastereomer,100.0,1
CHEBI_62043,CHEBI_45352,CHEBI_45352_CHEBI_62043,diastereomer,diastereomer,100.0,1
CHEBI_211767,CHEBI_211773,CHEBI_211767_CHEBI_211773,diastereomer,diastereomer,100.0,1
CHEBI_59987,CHEBI_59286,CHEBI_59286_CHEBI_59987,diastereomer,diastereomer,100.0,1
CHEBI_186138,CHEBI_185828,CHEBI_185828_CHEBI_186138,diastereomer,diastereomer,100.0,1
CHEBI_165330,CHEBI_165323,CHEBI_165323_CHEBI_165330,diastereomer,diastereomer,100.0,1
CHEBI_28023,CHEBI_231434,CHEBI_231434_CHEBI_28023,diastereomer,diastereomer,100.0,1
CHEBI_225165,CHEBI_225172,CHEBI_225165_CHEBI_225172,diastereomer,diastereomer,100.0,1
CHEBI_214220,CHEBI_199551,CHEBI_199551_CHEBI_214220,diastereomer,diastereomer,100.0,1
CHEBI_100353,CHEBI_100432,CHEBI_100353_CHEBI_100432,diastereomer,diastereomer,100.0,1
CHEBI_184582,CHEBI_176154,CHEBI_176154_CHEBI_184582,diastereomer,diastereomer,100.0,1
