threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
0,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
1,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
2,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
3,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
4,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
5,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
6,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
7,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
8,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
9,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
10,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
11,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
12,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
13,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
14,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
15,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
16,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
17,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
18,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
19,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
20,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
21,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
22,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
23,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
24,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
25,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
26,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
27,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
28,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
29,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
30,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
31,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
32,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
33,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
34,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
35,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
36,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
37,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
38,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
