id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_16998,CHEBI_17295,CHEBI_16998_CHEBI_17295,enantiomer,enantiomer,100.0,1
CHEBI_91316,CHEBI_91317,CHEBI_91316_CHEBI_91317,enantiomer,enantiomer,100.0,1
CHEBI_49263,CHEBI_49266,CHEBI_49263_CHEBI_49266,enantiomer,enantiomer,100.0,1
CHEBI_17798,CHEBI_50166,CHEBI_17798_CHEBI_50166,enantiomer,enantiomer,100.0,1
CHEBI_137455,CHEBI_63322,CHEBI_137455_CHEBI_63322,enantiomer,enantiomer,100.0,1
CHEBI_134268,CHEBI_17352,CHEBI_134268_CHEBI_17352,enantiomer,enantiomer,100.0,1
CHEBI_143781,CHEBI_143780,CHEBI_143780_CHEBI_143781,enantiomer,enantiomer,100.0,1
CHEBI_136411,CHEBI_136410,CHEBI_136410_CHEBI_136411,enantiomer,enantiomer,100.0,1
CHEBI_47006,CHEBI_47010,CHEBI_47006_CHEBI_47010,enantiomer,enantiomer,100.0,1
CHEBI_138311,CHEBI_138310,CHEBI_138310_CHEBI_138311,enantiomer,enantiomer,100.0,1
CHEBI_1060,CHEBI_17647,CHEBI_1060_CHEBI_17647,enantiomer,enantiomer,100.0,1
CHEBI_83330,CHEBI_83331,CHEBI_83330_CHEBI_83331,enantiomer,enantiomer,100.0,1
CHEBI_75528,CHEBI_75529,CHEBI_75528_CHEBI_75529,enantiomer,enantiomer,100.0,1
CHEBI_59336,CHEBI_59334,CHEBI_59334_CHEBI_59336,enantiomer,enantiomer,100.0,1
CHEBI_300,CHEBI_128,CHEBI_128_CHEBI_300,enantiomer,enantiomer,100.0,1
CHEBI_29090,CHEBI_17342,CHEBI_17342_CHEBI_29090,enantiomer,enantiomer,100.0,1
CHEBI_38342,CHEBI_39737,CHEBI_38342_CHEBI_39737,enantiomer,enantiomer,100.0,1
CHEBI_39458,CHEBI_39461,CHEBI_39458_CHEBI_39461,enantiomer,enantiomer,100.0,1
CHEBI_83210,CHEBI_83209,CHEBI_83209_CHEBI_83210,enantiomer,enantiomer,100.0,1
CHEBI_68506,CHEBI_67158,CHEBI_67158_CHEBI_68506,enantiomer,enantiomer,100.0,1
