threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
0,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
1,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
2,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
3,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
4,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
5,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
6,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
7,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
8,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
9,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
10,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
11,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
12,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
13,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
14,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
15,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
16,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
17,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
18,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
19,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
20,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
21,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
22,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
23,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
24,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
25,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
26,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
27,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
28,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
29,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
30,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
31,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
32,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
33,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
34,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
35,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
36,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
37,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
38,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
39,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
40,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
41,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
42,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
43,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
44,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
45,1160,1160,1.0,1159,1,0,0,0.9991379310344828,1.0,1.0,0.0,1.0,0.0,0.9995687796463993,0.5,0.0
