id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_136841,CHEBI_137678,CHEBI_136841_CHEBI_137678,protomer,protomer,94.0,1
CHEBI_57252,CHEBI_10956,CHEBI_10956_CHEBI_57252,protomer,protomer,96.0,1
CHEBI_71346,CHEBI_71533,CHEBI_71346_CHEBI_71533,protomer,protomer,96.0,1
CHEBI_57483,CHEBI_15721,CHEBI_15721_CHEBI_57483,protomer,protomer,93.0,1
CHEBI_234377,CHEBI_32050,CHEBI_234377_CHEBI_32050,protomer,protomer,97.0,1
CHEBI_90704,CHEBI_90702,CHEBI_90702_CHEBI_90704,protomer,protomer,95.0,1
CHEBI_75366,CHEBI_75369,CHEBI_75366_CHEBI_75369,protomer,protomer,94.0,1
CHEBI_37448,CHEBI_16950,CHEBI_16950_CHEBI_37448,protomer,protomer,91.0,1
CHEBI_77712,CHEBI_18073,CHEBI_18073_CHEBI_77712,protomer,protomer,97.0,1
CHEBI_192774,CHEBI_125596,CHEBI_125596_CHEBI_192774,protomer,protomer,95.0,1
CHEBI_58726,CHEBI_47990,CHEBI_47990_CHEBI_58726,protomer,protomer,93.0,1
CHEBI_190469,CHEBI_191192,CHEBI_190469_CHEBI_191192,protomer,protomer,96.0,1
CHEBI_48942,CHEBI_28484,CHEBI_28484_CHEBI_48942,protomer,protomer,88.0,1
CHEBI_57308,CHEBI_15437,CHEBI_15437_CHEBI_57308,protomer,protomer,90.0,1
CHEBI_30031,CHEBI_30779,CHEBI_30031_CHEBI_30779,protomer,protomer,93.0,1
CHEBI_64285,CHEBI_64298,CHEBI_64285_CHEBI_64298,protomer,protomer,90.0,1
CHEBI_17768,CHEBI_58263,CHEBI_17768_CHEBI_58263,protomer,protomer,90.0,1
CHEBI_71635,CHEBI_71653,CHEBI_71635_CHEBI_71653,protomer,protomer,95.0,1
CHEBI_57472,CHEBI_15682,CHEBI_15682_CHEBI_57472,protomer,protomer,83.0,1
CHEBI_57917,CHEBI_16836,CHEBI_16836_CHEBI_57917,protomer,protomer,90.0,1
CHEBI_58020,CHEBI_17123,CHEBI_17123_CHEBI_58020,protomer,protomer,88.0,1
CHEBI_6331,CHEBI_21285,CHEBI_21285_CHEBI_6331,protomer,protomer,82.0,1
CHEBI_184387,CHEBI_75175,CHEBI_184387_CHEBI_75175,protomer,protomer,94.0,1
CHEBI_70793,CHEBI_70820,CHEBI_70793_CHEBI_70820,protomer,protomer,95.0,1
CHEBI_64998,CHEBI_65011,CHEBI_64998_CHEBI_65011,protomer,protomer,90.0,1
CHEBI_139072,CHEBI_8614,CHEBI_139072_CHEBI_8614,protomer,protomer,88.0,1
CHEBI_231553,CHEBI_63598,CHEBI_231553_CHEBI_63598,protomer,protomer,96.0,1
CHEBI_30847,CHEBI_30846,CHEBI_30846_CHEBI_30847,protomer,protomer,91.0,1
CHEBI_87055,CHEBI_87293,CHEBI_87055_CHEBI_87293,protomer,protomer,96.0,1
CHEBI_53676,CHEBI_3508,CHEBI_3508_CHEBI_53676,protomer,protomer,98.0,1
CHEBI_30762,CHEBI_16914,CHEBI_16914_CHEBI_30762,protomer,protomer,90.0,1
CHEBI_133598,CHEBI_27644,CHEBI_133598_CHEBI_27644,protomer,protomer,90.0,1
CHEBI_57831,CHEBI_16597,CHEBI_16597_CHEBI_57831,protomer,protomer,90.0,1
CHEBI_131978,CHEBI_132263,CHEBI_131978_CHEBI_132263,protomer,protomer,93.0,1
CHEBI_62531,CHEBI_62528,CHEBI_62528_CHEBI_62531,protomer,protomer,92.0,1
CHEBI_229724,CHEBI_145880,CHEBI_145880_CHEBI_229724,protomer,protomer,91.0,1
CHEBI_85223,CHEBI_85666,CHEBI_85223_CHEBI_85666,protomer,protomer,95.0,1
CHEBI_57759,CHEBI_16400,CHEBI_16400_CHEBI_57759,protomer,protomer,94.0,1
CHEBI_47927,CHEBI_47925,CHEBI_47925_CHEBI_47927,protomer,protomer,92.0,1
CHEBI_58089,CHEBI_17284,CHEBI_17284_CHEBI_58089,protomer,protomer,86.0,1
CHEBI_16234,CHEBI_15377,CHEBI_15377_CHEBI_16234,protomer,protomer,75.0,1
CHEBI_70968,CHEBI_70983,CHEBI_70968_CHEBI_70983,protomer,protomer,90.0,1
CHEBI_133128,CHEBI_133122,CHEBI_133122_CHEBI_133128,protomer,protomer,95.0,1
CHEBI_9190,CHEBI_145043,CHEBI_145043_CHEBI_9190,protomer,protomer,92.0,1
CHEBI_133097,CHEBI_133096,CHEBI_133096_CHEBI_133097,protomer,protomer,92.0,1
CHEBI_234323,CHEBI_88950,CHEBI_234323_CHEBI_88950,protomer,protomer,86.0,1
CHEBI_48005,CHEBI_58731,CHEBI_48005_CHEBI_58731,protomer,protomer,85.0,1
CHEBI_67577,CHEBI_141396,CHEBI_141396_CHEBI_67577,protomer,protomer,63.0,1
CHEBI_58696,CHEBI_42646,CHEBI_42646_CHEBI_58696,protomer,protomer,92.0,1
CHEBI_138256,CHEBI_138934,CHEBI_138256_CHEBI_138934,protomer,protomer,91.0,1
CHEBI_133701,CHEBI_64414,CHEBI_133701_CHEBI_64414,protomer,protomer,90.0,1
CHEBI_88096,CHEBI_90165,CHEBI_88096_CHEBI_90165,protomer,protomer,95.0,1
CHEBI_9479,CHEBI_142526,CHEBI_142526_CHEBI_9479,protomer,protomer,91.0,1
CHEBI_86001,CHEBI_28679,CHEBI_28679_CHEBI_86001,protomer,protomer,90.0,1
CHEBI_68852,CHEBI_70739,CHEBI_68852_CHEBI_70739,protomer,protomer,91.0,1
CHEBI_17774,CHEBI_30531,CHEBI_17774_CHEBI_30531,protomer,protomer,93.0,1
CHEBI_58244,CHEBI_17711,CHEBI_17711_CHEBI_58244,protomer,protomer,93.0,1
CHEBI_59217,CHEBI_554446,CHEBI_554446_CHEBI_59217,protomer,protomer,96.0,1
CHEBI_57568,CHEBI_47963,CHEBI_47963_CHEBI_57568,protomer,protomer,85.0,1
CHEBI_11438,CHEBI_17365,CHEBI_11438_CHEBI_17365,protomer,protomer,86.0,1
CHEBI_58289,CHEBI_17835,CHEBI_17835_CHEBI_58289,protomer,protomer,87.0,1
