threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
0,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
1,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
2,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
3,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
4,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
5,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
6,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
7,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
8,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
9,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
10,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
11,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
12,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
13,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
14,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
15,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
16,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
17,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
18,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
19,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
20,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
21,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
22,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
23,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
24,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
25,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
26,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
27,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
28,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
29,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
30,3157,3157,1.0,3157,0,0,0,1.0,1.0,1.0,,,0.0,1.0,,
31,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
32,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
33,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
34,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
35,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
36,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
37,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
38,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
39,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
40,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
41,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
42,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
43,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
44,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
45,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
46,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
47,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
48,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
49,3157,3156,0.9996832435856826,3156,0,0,1,1.0,0.9996832435856826,0.9996832435856826,,,0.0003167564143173899,0.9998415967052114,,
50,3157,3155,0.9993664871713652,3155,0,0,2,1.0,0.9993664871713652,0.9993664871713652,,,0.0006335128286347799,0.9996831432192649,,
51,3157,3155,0.9993664871713652,3155,0,0,2,1.0,0.9993664871713652,0.9993664871713652,,,0.0006335128286347799,0.9996831432192649,,
52,3157,3155,0.9993664871713652,3155,0,0,2,1.0,0.9993664871713652,0.9993664871713652,,,0.0006335128286347799,0.9996831432192649,,
53,3157,3155,0.9993664871713652,3155,0,0,2,1.0,0.9993664871713652,0.9993664871713652,,,0.0006335128286347799,0.9996831432192649,,
54,3157,3155,0.9993664871713652,3155,0,0,2,1.0,0.9993664871713652,0.9993664871713652,,,0.0006335128286347799,0.9996831432192649,,
55,3157,3155,0.9993664871713652,3155,0,0,2,1.0,0.9993664871713652,0.9993664871713652,,,0.0006335128286347799,0.9996831432192649,,
56,3157,3154,0.9990497307570478,3154,0,0,3,1.0,0.9990497307570478,0.9990497307570478,,,0.0009502692429521698,0.9995246395183014,,
57,3157,3154,0.9990497307570478,3154,0,0,3,1.0,0.9990497307570478,0.9990497307570478,,,0.0009502692429521698,0.9995246395183014,,
58,3157,3149,0.9974659486854609,3149,0,0,8,1.0,0.9974659486854609,0.9974659486854609,,,0.0025340513145391194,0.9987313669521091,,
59,3157,3149,0.9974659486854609,3149,0,0,8,1.0,0.9974659486854609,0.9974659486854609,,,0.0025340513145391194,0.9987313669521091,,
60,3157,3149,0.9974659486854609,3149,0,0,8,1.0,0.9974659486854609,0.9974659486854609,,,0.0025340513145391194,0.9987313669521091,,
61,3157,3147,0.9968324358568261,3147,0,0,10,1.0,0.9968324358568261,0.9968324358568261,,,0.0031675641431738993,0.9984137055837563,,
62,3157,3144,0.995882166613874,3144,0,0,13,1.0,0.995882166613874,0.995882166613874,,,0.004117833386126069,0.9979368354229488,,
63,3157,3140,0.9946151409566044,3140,0,0,17,1.0,0.9946151409566044,0.9946151409566044,,,0.005384859043395629,0.997300301730983,,
64,3157,3134,0.9927146024707,3134,0,0,23,1.0,0.9927146024707,0.9927146024707,,,0.007285397529299968,0.996343983468447,,
65,3157,3128,0.9908140639847957,3128,0,0,29,1.0,0.9908140639847957,0.9908140639847957,,,0.009185936015204309,0.9953858392999205,,
66,3157,3121,0.988596769084574,3121,0,0,36,1.0,0.988596769084574,0.988596769084574,,,0.011403230915426037,0.9942656897100987,,
67,3157,3114,0.9863794741843522,3114,0,0,43,1.0,0.9863794741843522,0.9863794741843522,,,0.013620525815647768,0.9931430393876576,,
68,3157,3112,0.9857459613557175,3112,0,0,45,1.0,0.9857459613557175,0.9857459613557175,,,0.014254038644282548,0.9928218216621472,,
69,3157,3110,0.9851124485270827,3110,0,0,47,1.0,0.9851124485270827,0.9851124485270827,,,0.014887551472917327,0.9925003989149513,,
70,3157,3104,0.9832119100411784,3104,0,0,53,1.0,0.9832119100411784,0.9832119100411784,,,0.016788089958821667,0.9915348985785019,,
71,3157,3101,0.9822616407982262,3101,0,0,56,1.0,0.9822616407982262,0.9822616407982262,,,0.017738359201773836,0.9910514541387024,,
72,3157,3099,0.9816281279695914,3099,0,0,58,1.0,0.9816281279695914,0.9816281279695914,,,0.018371872030408617,0.9907289002557544,,
73,3157,3097,0.9809946151409566,3097,0,0,60,1.0,0.9809946151409566,0.9809946151409566,,,0.019005384859043396,0.990406140070355,,
74,3157,3093,0.979727589483687,3093,0,0,64,1.0,0.979727589483687,0.979727589483687,,,0.020272410516312955,0.98976,,
75,3157,3091,0.9790940766550522,3091,0,0,66,1.0,0.9790940766550522,0.9790940766550522,,,0.020905923344947737,0.9894366197183099,,
76,3157,3083,0.9765600253405131,3083,0,0,74,1.0,0.9765600253405131,0.9765600253405131,,,0.023439974659486856,0.9881410256410256,,
77,3157,3081,0.9759265125118783,3081,0,0,76,1.0,0.9759265125118783,0.9759265125118783,,,0.024073487488121634,0.9878166078871433,,
78,3157,3078,0.9749762432689262,3078,0,0,79,1.0,0.9749762432689262,0.9749762432689262,,,0.025023756731073803,0.9873295910184443,,
79,3157,3073,0.9733924611973392,3073,0,0,84,1.0,0.9733924611973392,0.9733924611973392,,,0.026607538802660754,0.9865168539325843,,
80,3157,3067,0.9714919227114349,3067,0,0,90,1.0,0.9714919227114349,0.9714919227114349,,,0.028508077288565095,0.9855398457583547,,
81,3157,3058,0.9686411149825784,3058,0,0,99,1.0,0.9686411149825784,0.9686411149825784,,,0.0313588850174216,0.984070796460177,,
82,3157,3025,0.9581881533101045,3025,0,0,132,1.0,0.9581881533101045,0.9581881533101045,,,0.041811846689895474,0.9786476868327403,,
83,3157,2987,0.9461514095660437,2987,0,0,170,1.0,0.9461514095660437,0.9461514095660437,,,0.05384859043395629,0.9723307291666666,,
84,3157,2931,0.9284130503642699,2931,0,0,226,1.0,0.9284130503642699,0.9284130503642699,,,0.07158694963573012,0.9628777923784494,,
