id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_192022,CHEBI_29561,CHEBI_192022_CHEBI_29561,stereo_resolution,stereo_resolution,100.0,1
CHEBI_91833,CHEBI_7459,CHEBI_7459_CHEBI_91833,stereo_resolution,stereo_resolution,100.0,1
CHEBI_61611,CHEBI_154332,CHEBI_154332_CHEBI_61611,stereo_resolution,stereo_resolution,100.0,1
CHEBI_136658,CHEBI_136660,CHEBI_136658_CHEBI_136660,stereo_resolution,stereo_resolution,100.0,1
CHEBI_173279,CHEBI_147110,CHEBI_147110_CHEBI_173279,stereo_resolution,stereo_resolution,76.0,1
CHEBI_139037,CHEBI_139077,CHEBI_139037_CHEBI_139077,stereo_resolution,stereo_resolution,100.0,1
CHEBI_228793,CHEBI_73999,CHEBI_228793_CHEBI_73999,stereo_resolution,stereo_resolution,91.0,1
CHEBI_174569,CHEBI_50036,CHEBI_174569_CHEBI_50036,stereo_resolution,stereo_resolution,100.0,1
CHEBI_91530,CHEBI_182405,CHEBI_182405_CHEBI_91530,stereo_resolution,stereo_resolution,100.0,1
CHEBI_91918,CHEBI_34738,CHEBI_34738_CHEBI_91918,stereo_resolution,stereo_resolution,100.0,1
CHEBI_147906,CHEBI_16153,CHEBI_147906_CHEBI_16153,stereo_resolution,stereo_resolution,75.0,1
CHEBI_142944,CHEBI_142945,CHEBI_142944_CHEBI_142945,stereo_resolution,stereo_resolution,100.0,1
CHEBI_82339,CHEBI_28876,CHEBI_28876_CHEBI_82339,stereo_resolution,stereo_resolution,100.0,1
CHEBI_177270,CHEBI_73895,CHEBI_177270_CHEBI_73895,stereo_resolution,stereo_resolution,100.0,1
CHEBI_155178,CHEBI_59494,CHEBI_155178_CHEBI_59494,stereo_resolution,stereo_resolution,100.0,1
CHEBI_78692,CHEBI_78693,CHEBI_78692_CHEBI_78693,stereo_resolution,stereo_resolution,100.0,1
CHEBI_91530,CHEBI_124990,CHEBI_124990_CHEBI_91530,stereo_resolution,stereo_resolution,100.0,1
CHEBI_65141,CHEBI_154059,CHEBI_154059_CHEBI_65141,stereo_resolution,stereo_resolution,100.0,1
CHEBI_174843,CHEBI_70692,CHEBI_174843_CHEBI_70692,stereo_resolution,stereo_resolution,100.0,1
CHEBI_177499,CHEBI_191244,CHEBI_177499_CHEBI_191244,stereo_resolution,stereo_resolution,100.0,1
CHEBI_83711,CHEBI_83712,CHEBI_83711_CHEBI_83712,stereo_resolution,stereo_resolution,100.0,1
CHEBI_148545,CHEBI_157093,CHEBI_148545_CHEBI_157093,stereo_resolution,stereo_resolution,100.0,1
CHEBI_228605,CHEBI_200194,CHEBI_200194_CHEBI_228605,stereo_resolution,stereo_resolution,100.0,1
CHEBI_93572,CHEBI_16794,CHEBI_16794_CHEBI_93572,stereo_resolution,stereo_resolution,100.0,1
CHEBI_139148,CHEBI_167052,CHEBI_139148_CHEBI_167052,stereo_resolution,stereo_resolution,100.0,1
CHEBI_180999,CHEBI_44678,CHEBI_180999_CHEBI_44678,stereo_resolution,stereo_resolution,86.0,1
CHEBI_78832,CHEBI_57409,CHEBI_57409_CHEBI_78832,stereo_resolution,stereo_resolution,100.0,1
CHEBI_224481,CHEBI_207717,CHEBI_207717_CHEBI_224481,stereo_resolution,stereo_resolution,100.0,1
CHEBI_90141,CHEBI_126432,CHEBI_126432_CHEBI_90141,stereo_resolution,stereo_resolution,100.0,1
CHEBI_83746,CHEBI_83863,CHEBI_83746_CHEBI_83863,stereo_resolution,stereo_resolution,100.0,1
CHEBI_7027,CHEBI_44312,CHEBI_44312_CHEBI_7027,stereo_resolution,stereo_resolution,80.0,1
CHEBI_176344,CHEBI_165420,CHEBI_165420_CHEBI_176344,stereo_resolution,stereo_resolution,100.0,1
CHEBI_189129,CHEBI_68881,CHEBI_189129_CHEBI_68881,stereo_resolution,stereo_resolution,100.0,1
CHEBI_52615,CHEBI_146131,CHEBI_146131_CHEBI_52615,stereo_resolution,stereo_resolution,100.0,1
CHEBI_4208,CHEBI_28729,CHEBI_28729_CHEBI_4208,stereo_resolution,stereo_resolution,100.0,1
CHEBI_184750,CHEBI_192814,CHEBI_184750_CHEBI_192814,stereo_resolution,stereo_resolution,100.0,1
CHEBI_168617,CHEBI_37573,CHEBI_168617_CHEBI_37573,stereo_resolution,stereo_resolution,100.0,1
CHEBI_220914,CHEBI_220947,CHEBI_220914_CHEBI_220947,stereo_resolution,stereo_resolution,100.0,1
CHEBI_3240,CHEBI_59288,CHEBI_3240_CHEBI_59288,stereo_resolution,stereo_resolution,100.0,1
CHEBI_233017,CHEBI_175131,CHEBI_175131_CHEBI_233017,stereo_resolution,stereo_resolution,100.0,1
CHEBI_95163,CHEBI_95237,CHEBI_95163_CHEBI_95237,stereo_resolution,stereo_resolution,100.0,1
CHEBI_64777,CHEBI_64774,CHEBI_64774_CHEBI_64777,stereo_resolution,stereo_resolution,83.0,1
CHEBI_28770,CHEBI_28651,CHEBI_28651_CHEBI_28770,stereo_resolution,stereo_resolution,100.0,1
CHEBI_138203,CHEBI_138205,CHEBI_138203_CHEBI_138205,stereo_resolution,stereo_resolution,100.0,1
CHEBI_64028,CHEBI_64030,CHEBI_64028_CHEBI_64030,stereo_resolution,stereo_resolution,100.0,1
CHEBI_142498,CHEBI_171894,CHEBI_142498_CHEBI_171894,stereo_resolution,stereo_resolution,100.0,1
CHEBI_144384,CHEBI_144379,CHEBI_144379_CHEBI_144384,enantiomer,stereo_resolution,100.0,0
CHEBI_148567,CHEBI_40896,CHEBI_148567_CHEBI_40896,stereo_resolution,stereo_resolution,100.0,1
CHEBI_229940,CHEBI_47903,CHEBI_229940_CHEBI_47903,stereo_resolution,stereo_resolution,100.0,1
CHEBI_106936,CHEBI_123855,CHEBI_106936_CHEBI_123855,diastereomer,stereo_resolution,80.0,0
CHEBI_32740,CHEBI_32736,CHEBI_32736_CHEBI_32740,stereo_resolution,stereo_resolution,100.0,1
CHEBI_78416,CHEBI_78418,CHEBI_78416_CHEBI_78418,stereo_resolution,stereo_resolution,100.0,1
CHEBI_147943,CHEBI_150031,CHEBI_147943_CHEBI_150031,stereo_resolution,stereo_resolution,100.0,1
CHEBI_181027,CHEBI_199700,CHEBI_181027_CHEBI_199700,stereo_resolution,stereo_resolution,100.0,1
CHEBI_141487,CHEBI_141489,CHEBI_141487_CHEBI_141489,stereo_resolution,stereo_resolution,100.0,1
