threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
0,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
1,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
2,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
3,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
4,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
5,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
6,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
7,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
8,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
9,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
10,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
11,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
12,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
13,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
14,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
15,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
16,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
17,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
18,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
19,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
20,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
21,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
22,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
23,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
24,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
25,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
26,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
27,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
28,4475,4475,1.0,4286,189,0,0,0.9577653631284916,1.0,1.0,0.0,1.0,0.0,0.9784271201917589,0.5,0.0
