identity_key_strict	n_members	n_raw_forms	formula	formal_charge	members
CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21	2	2	C10H14N4O2	0.0	CHEBI_34795, CHEBI_43253
CC(O)=Nc1ccccc1O	2	2	C8H9NO2	0.0	CHEBI_143107, CHEBI_88870
CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCC	2	2	C35H68NO8P	0.0	CHEBI_195407, CHEBI_195408
CCCCCCC(N)C(=O)O	2	2	C8H17NO2	0.0	CHEBI_133660, CHEBI_75145
CCC[C@H]([NH2+][C@H](C)C(=O)[O-])C(=O)[O-]	2	2	C8H14NO4-	-1.0	CHEBI_15602, CHEBI_58799
CCN1/C(=C/c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21	2	2	C23H23N2+	1.0	CHEBI_37994, CHEBI_38002
CC[C@@H](C)[C@@H](N)C(=O)O	2	2	C6H13NO2	0.0	CHEBI_193151, CHEBI_27730
CC[C@@H](C)[C@H]([NH3+])C(=O)[O-]	2	2	C6H13NO2	0.0	CHEBI_43433, CHEBI_85338
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4C=CC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2[O-])C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC	2	2	C42H51NO15	0.0	CHEBI_75093, CHEBI_77985
CC[C@H](C)[C@@H]([NH3+])C(=O)[O-]	2	2	C6H13NO2	0.0	CHEBI_20899, CHEBI_85306
CNC[C@H](O)c1ccc(OS(=O)(=O)O)c(O)c1	2	2	C9H13NO6S	0.0	CHEBI_233043, CHEBI_89878
C[C@H]([NH3+])CCC(=O)[O-]	2	2	C5H11NO2	0.0	CHEBI_178407, CHEBI_194493
C[NH2+]CCCC(=O)[O-]	2	2	C5H11NO2	0.0	CHEBI_37755, CHEBI_66882
Cc1cc(=O)nc(C(C)C)[nH]1	2	2	C8H12N2O	0.0	CHEBI_38629, CHEBI_83445
NCCC(=O)NCCc1cnc[nH]1	2	2	C8H14N4O	0.0	CHEBI_131429, CHEBI_95262
N[C@@H](Cc1ccc(O)c(Cl)c1)C(=O)O	2	2	C9H10ClNO3	0.0	CHEBI_189422, CHEBI_53678
Nc1ccc(C(=O)O)cc1	2	2	C7H7NO2	0.0	CHEBI_194474, CHEBI_30753
O=C(O)/C(Cl)=C(Cl)\C=C(\Cl)C(=O)[O-]	2	2	C6H2Cl3O4-	-1.0	CHEBI_36531, CHEBI_38426
O=C(O)[C@@H]1C[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@H]2O)CN1	2	2	C10H17NO7	0.0	CHEBI_75880, CHEBI_75933
O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	2	2	C6H10O7	0.0	CHEBI_15446, CHEBI_33885
O=C([O-])[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	2	2	C6H9O7-	-1.0	CHEBI_140523, CHEBI_58658
O=S(=O)([O-])CC[NH+](CCO)CCO	2	2	C6H15NO5S	0.0	CHEBI_39041, CHEBI_39045
[H]NCCC[C@H](N)CC(=O)N[C@@H]1[C@H](O)[C@@H](OC(N)=O)[C@@H](CO)O[C@H]1/N=C1/N[C@H]([C@H](O)CN)[C@@H](C(=O)O)N1	2	2	C19H36N8O9	0.0	CHEBI_60823, CHEBI_60826
[NH3+]C(CC1=CC(=O)C(O)=CC1=O)C(=O)[O-]	2	2	C9H9NO5	0.0	CHEBI_36077, CHEBI_68431
