id1,id2,pair_id,true_class,predicted_class,score_S,true_norm,pred_norm
CHEBI_106936,CHEBI_123855,CHEBI_106936_CHEBI_123855,Diastereomers,Stereo-resolution pairs,80.0,diastereomer,stereo_resolution
CHEBI_124105,CHEBI_124753,CHEBI_124105_CHEBI_124753,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_95659,CHEBI_96178,CHEBI_95659_CHEBI_96178,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_221267,CHEBI_220012,CHEBI_220012_CHEBI_221267,Diastereomers,Stereo-resolution pairs,97.0,diastereomer,stereo_resolution
CHEBI_219255,CHEBI_209198,CHEBI_209198_CHEBI_219255,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_129798,CHEBI_129545,CHEBI_129545_CHEBI_129798,Diastereomers,Stereo-resolution pairs,88.0,diastereomer,stereo_resolution
CHEBI_95912,CHEBI_95552,CHEBI_95552_CHEBI_95912,Diastereomers,Stereo-resolution pairs,80.0,diastereomer,stereo_resolution
CHEBI_228050,CHEBI_228055,CHEBI_228050_CHEBI_228055,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_200781,CHEBI_214544,CHEBI_200781_CHEBI_214544,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_233662,CHEBI_233663,CHEBI_233662_CHEBI_233663,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_96338,CHEBI_96691,CHEBI_96338_CHEBI_96691,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_113375,CHEBI_96931,CHEBI_113375_CHEBI_96931,Diastereomers,Stereo-resolution pairs,85.0,diastereomer,stereo_resolution
CHEBI_95941,CHEBI_116658,CHEBI_116658_CHEBI_95941,Diastereomers,Stereo-resolution pairs,83.0,diastereomer,stereo_resolution
CHEBI_127571,CHEBI_130530,CHEBI_127571_CHEBI_130530,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_129751,CHEBI_129888,CHEBI_129751_CHEBI_129888,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_128108,CHEBI_127935,CHEBI_127935_CHEBI_128108,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_207275,CHEBI_207269,CHEBI_207269_CHEBI_207275,Diastereomers,Stereo-resolution pairs,83.0,diastereomer,stereo_resolution
CHEBI_128675,CHEBI_128387,CHEBI_128387_CHEBI_128675,Diastereomers,Stereo-resolution pairs,81.0,diastereomer,stereo_resolution
CHEBI_198553,CHEBI_216149,CHEBI_198553_CHEBI_216149,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_108782,CHEBI_113569,CHEBI_108782_CHEBI_113569,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_208212,CHEBI_208078,CHEBI_208078_CHEBI_208212,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_108730,CHEBI_111767,CHEBI_108730_CHEBI_111767,Diastereomers,Stereo-resolution pairs,84.0,diastereomer,stereo_resolution
CHEBI_53637,CHEBI_53636,CHEBI_53636_CHEBI_53637,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_103817,CHEBI_113393,CHEBI_103817_CHEBI_113393,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_127094,CHEBI_130119,CHEBI_127094_CHEBI_130119,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_130641,CHEBI_126239,CHEBI_126239_CHEBI_130641,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_96623,CHEBI_95764,CHEBI_95764_CHEBI_96623,Diastereomers,Stereo-resolution pairs,85.0,diastereomer,stereo_resolution
CHEBI_126372,CHEBI_125891,CHEBI_125891_CHEBI_126372,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_67563,CHEBI_67564,CHEBI_67563_CHEBI_67564,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_209430,CHEBI_209426,CHEBI_209426_CHEBI_209430,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_127055,CHEBI_128936,CHEBI_127055_CHEBI_128936,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_200375,CHEBI_207851,CHEBI_200375_CHEBI_207851,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_127110,CHEBI_130202,CHEBI_127110_CHEBI_130202,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_119648,CHEBI_103682,CHEBI_103682_CHEBI_119648,Diastereomers,Stereo-resolution pairs,80.0,diastereomer,stereo_resolution
CHEBI_130080,CHEBI_127903,CHEBI_127903_CHEBI_130080,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_128297,CHEBI_126187,CHEBI_126187_CHEBI_128297,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_106754,CHEBI_111066,CHEBI_106754_CHEBI_111066,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_130536,CHEBI_127702,CHEBI_127702_CHEBI_130536,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_99846,CHEBI_102759,CHEBI_102759_CHEBI_99846,Diastereomers,Stereo-resolution pairs,85.0,diastereomer,stereo_resolution
CHEBI_126511,CHEBI_128104,CHEBI_126511_CHEBI_128104,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_71556,CHEBI_71614,CHEBI_71556_CHEBI_71614,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_213390,CHEBI_198501,CHEBI_198501_CHEBI_213390,Diastereomers,Stereo-resolution pairs,98.0,diastereomer,stereo_resolution
CHEBI_119549,CHEBI_119508,CHEBI_119508_CHEBI_119549,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_129506,CHEBI_125957,CHEBI_125957_CHEBI_129506,Diastereomers,Stereo-resolution pairs,81.0,diastereomer,stereo_resolution
CHEBI_129419,CHEBI_130577,CHEBI_129419_CHEBI_130577,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_95822,CHEBI_96942,CHEBI_95822_CHEBI_96942,Diastereomers,Stereo-resolution pairs,81.0,diastereomer,stereo_resolution
CHEBI_130838,CHEBI_128741,CHEBI_128741_CHEBI_130838,Diastereomers,Stereo-resolution pairs,89.0,diastereomer,stereo_resolution
CHEBI_114099,CHEBI_114055,CHEBI_114055_CHEBI_114099,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_95562,CHEBI_95939,CHEBI_95562_CHEBI_95939,Diastereomers,Stereo-resolution pairs,80.0,diastereomer,stereo_resolution
CHEBI_204527,CHEBI_201564,CHEBI_201564_CHEBI_204527,Diastereomers,Stereo-resolution pairs,94.0,diastereomer,stereo_resolution
